# Empty rows and rows that begin with a # will be ignored,,,,
# Follow the instructions to create this document,,,,
# Room Title,# To be filled in when creating game via UI,,,
# Intro,# To be filled in when creating game via UI,,,
,,,,
#KEYWORD,SCENE NUMBER,,,
Scene ,1,,,
#KEYWORD,NAME,SPEECH,TAG,PATHWAY
character,Curt,"Hi guys, so we were supposed to discuss this.. Let’s get this moving",,
character,Paulina,"If only we got to choose our own groups, now we’re stuck with Kenzo the dumb-a**",,
character,Curt,Yeah we can get the dumb one to present the project for us,,
character,Paulina,"Ha, ok but before that we gotta get some content out",,
choice,<player>,Shall we ask Kenzo if he’s comfortable to present first?,Upstanding,2
choice,<player>,Can we get down to the task and decide on presenting later?,Ignoring,2
choice,<player>,"Yeah fa**** Kenzo, where are you... You hear that you gotta present yeah?",Hurtful Comment,2
,,,,
Scene ,2,,,
character,Kenzo,Ok I will present,,
character,Paulina,"DUH, you don’t have a choice",,
character,Kenzo,Ok let’s start. We are supposed to discuss our stand on whether shoppers should pay for plastic bags when they go to supermarkets,,
character,Paulina,"Ha, yes smarty pants, so what do YOU think?",,
character,Curt,"Haha, come on give him a break, before he starts wailing to his mother",,
choice,<player>,"Ok get back to the question guys. I think I’m cool with charging people for plastic bags, let’s save the earth man, what do you guys think?",Ignoring,3
choice,<player>,Only Kenzo should pay for plastic bags,Hurtful Comment,4
choice,<player>,"Ok guys... It won’t hurt for all of us to be kinder with our words, shall we not get personal with Kenzo?",Upstanding,5
,,,,
Scene ,3,,,
character,Curt,"Yeah, a lot of countries enforce this payment rule and I think it works to get people to bring their own bags",,
character,Kenzo,Yeah I agree,,
character,Paulina,"Come on, tell us something new Kenzo ha, stop ***ing around",,
character,Curt,"Haha leave him alone, come on, he’s gonna start complaining to our teacher soon",,
character,Paulina,"Yeah, what a wimp",,
character,Curt,"SO, in my humble opinion, I am supportive of the payment rule for plastic bags, I think if such things are not enforced, people will not see a need to change the way they are living.",,
character,Kenzo,"Yup, I agree and we can hope that it becomes a habit that grows on everyone…",,
character,Paulina,"Duh, I don’t need you to tell me you agree with everything kenzoboy. Tell me something I don’t know.",,
choice,<player>,"Kenzo is just gonna agree with everything we say, forget it Paulina!",Hurtful Comment,6
choice,<player>,"Paulina, if you’re not gonna stop with the name-calling, I will let Ms Tan know that you aren’t helping the discussion at all.",Upstanding,7
choice,<player>,"Well, I think enforcing payment has its pros and cons – I’m not sure how well the supermarket enterprises will take this?",Ignoring,8
,,,,
Scene ,4,,,
character,Curt,"HA, maybe he can’t even afford one",,
character,Paulina,Whut. That’s just lame.,,
